Name	HCT116_cell	HepG2_cell	MDA-DB-231_cell	Hep3B_cell	SW480_cell	A375_cell	HAF1608_cell	THP1_cell	HK1_cell	LNCaP_cell	HEK293_cell	IMR90_cell	C8166_cell	A2058_cell	BicR_cell	MCF7_cell	H460_cell	RVH6849_cell	HELF977_cell	NP460_cell	Jurkat_cell	SH-SY5Y_cell	Mammary_Epithelial_cell	HeLa_cell	SUP-T1_cell	DLD2_cell	A549_cell	143B_cell	DLD1_cell	MCF10A_cell	HDMYZ_cell	H1264_cell	H520_cell	ZR75-1_cell	Beas-2B_cell	DKS8_cell	Huh7_cell	DKO1_cell	U2OS_cell	MIHA_cell	Fadu_cell	LCLB-cell
hsa-miR-5706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-7847-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6814-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4787-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-483-3p	0	514.8753931	0	82.21840197	30.25901719	0	0	0	0	0	5.820559691	0	69.21234065	0	0	0	0	0	0	0	0	16.39344262	0	0	0	0	0	39.39256662	6.268571715	0	126.850998	0	0	0	0	7.089418452	0	6.350820451	6.942323179	11.17002264	0	0	
hsa-miR-5187-5p	0	16.06117636	350.6415995	310.1876074	0	15.46933977	0	18.47757644	4.428541061	113.6254904	4.1547591	30.66619236	1.847955983	815.9934721	224.4134648	5.776117689	0	3.088812076	0	7.086569533	26.06182895	0	7.478579949	1.380434846	5.120287151	0	2.109991237	9.848141656	2.778333683	0	7.418927506	0	0	1.554103358	0	0	46.12581585	0	27.76929272	822.8583343	0	0	
hsa-miR-3976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-642b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1236-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-520f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3130-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6833-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4639-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
