name	Astrocyte	Cortical_neuron	Dopaminergic_neuron	H9_differentiated_forebrain	H9_differentiated_mesenchymal	H9_differentiated_midbrain	iPSC_neuron	Neural_stem	Embryonic_stem	iPSC_cardiomyocyte	Endothelial	Biliosphere	Bronchial_epithelial	Colonic_epithelial	Islet_alpha	Islet_beta	Keratinocyte_epithelial	Mammary_epithelial	Prostate_epithelial	Renal_epithelial	Retinal_pigment_epithelial	Fibroblast	Smooth_muscle	Valve_interstitial	Mesangial	Myoblast	Myotube	Melanocyte	Corona_radiata	Cumulus_oophorus	Chondrocyte	Osteoblast	B_lymphocyte_CD77	B_lymphocyte_centroblast	B_lymphocyte_centrocyte	B_lymphocyte_memory	B_lymphocyte_naive	B_lymphocyte_pregerminal_center	Plasma	CD3_T_lymphocyte	CD4_T_lymphocyte	CD8_T_lymphocyte	Dendritic	Macrophage	Monocyte	CD14_monocyte	Platelet	Red_blood
hsa-miR-3606-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-769-3p	14.07275416	11	38	15.98543609	11.93933032	23.77939819	16.67641995	17.42749338	20.06215144	27.42847112	8.12190151	2.109497689	3.896141235	4.941848562	12.22618692	3.051701732	5.115140451	6	4	4.333333333	13.3706645	8.049315768	9.138994508	3.868356598	7	3.716981141	3.035805256	3.185387458	0	2.623656315	6.430033996	4	21.89688583	3.988099511	3.870669326	3.015365094	2.465161111	2.041145872	2.240350391	7.016228255	4.46359825	0.363796875	8.59083052	21.6708659	0	2.272442278	3.930821851	0
hsa-miR-3119-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-487b-3p	428.4261706	4	59	30.82453201	31.04824053	11.73130787	304.3139443	70.37440099	10.66848167	0	80.7208458	64.92619312	21.36160194	1.129565386	137.1290946	570.3074331	12.0823728	29	10	30.33333333	40.65578249	267.2781591	344.5077016	56.47628771	256	27.21386502	92.31963335	5.079073925	33.80949135	56.09196259	570.2945537	242	0	0	0	0	0	0	0	0	0	1.761889874	0	4.89060591	18.83368735	0	71.65073244	0
hsa-miR-6089-2	0	0	0	58.43055475	59.4546406	41.67394138	0	10.81268567	16.41426104	0	0	0	0	427.1169114	0	0	0	0	0	0	0	2.941293755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-222-3p	22191.54406	1751	891	2130.17076	7538.937085	2956.836612	359.6968558	2060.053266	5074.133	386.7414428	22469.87365	3475.966527	19793.47227	383.2050571	1533.646512	444.366666	23771.71512	43162	15652	11779	12824.50999	35362.35846	21876.4854	4906.359554	44590	44800.17898	15955.73812	9132.019709	147.0298316	85.22359478	91680.16665	31071	813.3885413	1389.567815	1251.838971	4834.836392	1677.850281	1682.357787	230.4760465	1724.448581	785.6740886	488.0197686	1704.248481	16875.08122	4836.158553	5.990984189	2989.543682	17.27882438
hsa-miR-378d-1	420.0023389	522	1133	703.2702026	994.4088102	367.1717166	385.0646389	715.5577325	7251.175129	23855.45561	1322.217545	1705.257669	3837.027368	16056.20717	43.28115704	577.2838494	5609.242716	5183	2598	3211	762.3698843	509.7054674	584.0512198	44.67137801	395	272.8912173	630.1584695	9568.933424	106.0346718	99.69893996	82.84851495	267	1757.634643	3356.840331	3920.342915	3526.771014	1192.829832	4200.451411	1940.703526	1217.175278	847.8429986	3019.306299	64080.48839	11623.97878	455.9968067	4124.586028	487.3411348	426.5763921
hsa-miR-8060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4419a	0	0	0	0	0	0	0	0	0	0	0	0	0	2.965109137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
